Date,Team 1,FT,HT,Team 2
Fri Apr 20 2018,Din. Bucuresti,1-0,?,Poli Timisoara
Sat Apr 21 2018,Concordia,0-1,?,FC Voluntari
Sat Apr 21 2018,Viitorul Constanta,2-2,?,FCSB
Sun Apr 22 2018,Daco-Getica Bucuresti,0-3,?,Gaz Metan Medias
Sun Apr 22 2018,Poli Iasi,1-1,?,CFR Cluj
Mon Apr 23 2018,FC Botosani,2-2,?,Sepsi Sf. Gheorghe
Mon Apr 23 2018,Astra,1-0,?,U Craiova
Thu Apr 26 2018,Poli Iasi,0-3,?,Astra
Fri Apr 27 2018,FC Voluntari,0-1,?,Daco-Getica Bucuresti
Sat Apr 28 2018,Poli Timisoara,1-0,?,Concordia
Sat Apr 28 2018,U Craiova,3-3,?,Viitorul Constanta
Sun Apr 29 2018,Gaz Metan Medias,2-1,?,FC Botosani
Sun Apr 29 2018,FCSB,1-1,?,CFR Cluj
Mon Apr 30 2018,Sepsi Sf. Gheorghe,2-0,?,Din. Bucuresti
Mon Apr 30 2018,Astra,3-0,?,Poli Iasi
Fri May 4 2018,Poli Timisoara,2-3,?,FC Voluntari
Fri May 4 2018,Viitorul Constanta,1-1,?,Astra
Sat May 5 2018,Daco-Getica Bucuresti,0-3,?,FC Botosani
Sat May 5 2018,CFR Cluj,1-0,?,U Craiova
Sun May 6 2018,Gaz Metan Medias,2-3,?,Din. Bucuresti
Mon May 7 2018,Sepsi Sf. Gheorghe,0-2,?,Concordia
Mon May 7 2018,Poli Iasi,1-0,?,FCSB
Fri May 11 2018,Poli Timisoara,2-0,?,Daco-Getica Bucuresti
Fri May 11 2018,Viitorul Constanta,1-0,?,Poli Iasi
Sat May 12 2018,FC Voluntari,1-2,?,Sepsi Sf. Gheorghe
Sat May 12 2018,Din. Bucuresti,2-0,?,FC Botosani
Sun May 13 2018,Concordia,0-0,?,Gaz Metan Medias
Sun May 13 2018,Astra,0-2,?,CFR Cluj
Mon May 14 2018,U Craiova,0-1,?,FCSB
Tue May 15 2018,Sepsi Sf. Gheorghe,3-0,?,Poli Timisoara
Tue May 15 2018,Daco-Getica Bucuresti,0-2,?,Din. Bucuresti
Wed May 16 2018,FC Botosani,0-1,?,Concordia
Thu May 17 2018,Gaz Metan Medias,1-0,?,FC Voluntari
Fri May 18 2018,Sepsi Sf. Gheorghe,2-1,?,Daco-Getica Bucuresti
Sat May 19 2018,Concordia,0-4,?,Din. Bucuresti
Sun May 20 2018,FC Voluntari,1-1,?,FC Botosani
Sun May 20 2018,CFR Cluj,1-0,?,Viitorul Constanta
Sun May 20 2018,FCSB,1-0,?,Astra
Sun May 20 2018,Poli Iasi,1-2,?,U Craiova
Mon May 21 2018,Poli Timisoara,0-0,?,Gaz Metan Medias
Tue May 22 2018,Daco-Getica Bucuresti,1-3,?,Concordia
Wed May 23 2018,Din. Bucuresti,2-0,?,FC Voluntari
Thu May 24 2018,Gaz Metan Medias,1-1,?,Sepsi Sf. Gheorghe
Thu May 24 2018,FC Botosani,0-0,?,Poli Timisoara
Sat May 26 2018,FC Voluntari,2-2,?,Concordia
Sun May 27 2018,Sepsi Sf. Gheorghe,0-1,?,FC Botosani
Mon May 28 2018,Gaz Metan Medias,3-0,?,Daco-Getica Bucuresti
Mon May 28 2018,Poli Timisoara,1-3,?,Din. Bucuresti
Fri Jun 1 2018,Din. Bucuresti,0-0,?,Sepsi Sf. Gheorghe
Sat Jun 2 2018,FC Botosani,2-0,?,Gaz Metan Medias
Sat Jun 2 2018,Concordia,0-1,?,Poli Timisoara
Sat Jun 2 2018,Daco-Getica Bucuresti,2-2,?,FC Voluntari
Sat Jun 9 2018,FC Voluntari,1-0,?,Chindia Targoviste
Wed Jun 13 2018,Chindia Targoviste,1-0,?,FC Voluntari
